йЫДИЙЭР DSLAM;EMS DSLAM Name;╪МОЛА DSLAM;DSLAM Uplink Port;╪МОЛА еНОПКИСЛОЩ еПЭЛЕМОУ Hop;тЩПОР еНОПКИСЛОЩ еПЭЛЕМОУ Hop;пЭЯТА еПЭЛЕМОУ Hop;TЩПОР пЭЯТАР еПЭЛЕМОУ Hop;йЫДИЙЭР EETT DSLAM;пЕЯИЖщЯЕИА DSLAM;дИАЛщЯИСЛА DSLAM;оМОЛАСъА йщМТЯОУ DSLAM;DSLAM тей;DSLAM ONU;йЫДИЙЭР йщМТЯОУ DSLAM;йЫДИЙЭР EETT еПЭЛЕМОУ Hop;пЕЯИЖщЯЕИА еПЭЛЕМОУ Hop;дИАЛщЯИСЛА еПЭЛЕМОУ Hop;оМОЛАСъА йщМТЯОУ еПЭЛЕМОУ Hop;тей еПЭЛЕМОУ Hop;ONU еПЭЛЕМОУ Hop;йЫДИЙЭР йщМТЯОУ еПЭЛЕМОУ Hop
16583;ATTIC_PSYCHIKO_D_HUA_16583_KV;AATT/PSYH/T120/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether15107;ETSBPrt;62934;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;275;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16584;ATTIC_PSYCHIKO_D_HUA_16584_KV;AATT/PSYH/T122/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether15102;ETSBPrt;62936;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;281;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16585;ATTIC_PSYCHIKO_D_HUA_16585_KV;AATT/PSYH/T124/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether15005;ETSBPrt;62939;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;288;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16586;ATTIC_PSYCHICO_D_HUA_16586_KV;AATT/PSYH/T065/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14109;ETSBPrt;62942;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;307;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16587;ATTIC_PSYCHIKO_D_HUA_16587_KV;AATT/PSYH/T094/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13114;ETSBPrt;62943;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;308;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16588;ATTIC_PSYCHIKO_D_HUA_16588_KV;AATT/PSYH/T093/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13113;ETSBPrt;62944;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;312;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16589;ATTIC_PSYCHIKO_D_HUA_16589_KV;AATT/PSYH/T044/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13117;ETSBPrt;62945;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;315;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16590;ATTIC_PSYCHIKO_D_HUA_16590_KV;AATT/PSYH/T148/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether15008;ETSBPrt;62946;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;316;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16591;ATTIC_PSYCHIKO_D_HUA_16591_KV;AATT/PSYH/T091/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether13107;ETSBPrt;62948;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;318;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16592;ATTIC_PSYCHICO_D_HUA_16592_KV;AATT/PSYH/T058/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14013;ETSBPrt;62953;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;327;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16593;ATTIC_PSYCHICO_D_HUA_16593_KV;AATT/PSYH/T054/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14014;ETSBPrt;62955;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;329;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16594;ATTIC_PSYCHIKO_D_HUA_16594_KV;AATT/PSYH/T045/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14009;ETSBPrt;62958;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;332;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16595;ATTIC_PSYCHICO_D_HUA_16595_KV;AATT/PSYH/T056/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14112;ETSBPrt;62959;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;333;ьувийо_ц2L;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16596;ATTIC_PSYCHICO_D_HUA_16596_KV;AATT/PSYH/T057/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14103;ETSBPrt;62961;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;335;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16597;ATTIC_PSYCHICO_D_HUA_16597_KV;AATT/PSYH/T064/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether14003;ETSBPrt;62962;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;336;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
16598;ATTIC_PSYCHIKO_D_HUA_16598_KV;AATT/PSYH/T128/DS_5603Tv2/001;6-иАМ;xala-asr9kb;SWTETH;Bundle-Ether15108;ETSBPrt;62966;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651;340;ьувийо_ц2R;60027;т.п.мотиас екк.;т.д. ахгмас;т.е.й. вакамдяиоу;1651; ;вакамдяи
